1	Escalera_Real	AS	K	Q	J	10	TRUE
3388	Pareja	8	8	2	3	Q	
3389	Pareja	8	8	2	3	K	
3390	Pareja	8	8	2	4	5	
3391	Pareja	8	8	2	4	6	
3392	Pareja	8	8	2	4	7	
3393	Pareja	8	8	2	4	9	
3394	Pareja	8	8	2	4	10	
3395	Pareja	8	8	2	4	J	
3396	Pareja	8	8	2	4	Q	
3397	Pareja	8	8	2	4	K	
3398	Pareja	8	8	2	5	6	
3399	Pareja	8	8	2	5	7	
3400	Pareja	8	8	2	5	9	
3401	Pareja	8	8	2	5	10	
3402	Pareja	8	8	2	5	J	
3403	Pareja	8	8	2	5	Q	
3404	Pareja	8	8	2	5	K	
3405	Pareja	8	8	2	6	7	
3406	Pareja	8	8	2	6	9	
3407	Pareja	8	8	2	6	10	
3408	Pareja	8	8	2	6	J	
3409	Pareja	8	8	2	6	Q	
3410	Pareja	8	8	2	6	K	
3411	Pareja	8	8	2	7	9	
3412	Pareja	8	8	2	7	10	
3413	Pareja	8	8	2	7	J	
3414	Pareja	8	8	2	7	Q	
3415	Pareja	8	8	2	7	K	
3416	Pareja	8	8	2	9	10	
3417	Pareja	8	8	2	9	J	
3418	Pareja	8	8	2	9	Q	
3419	Pareja	8	8	2	9	K	
3420	Pareja	8	8	2	10	J	
3421	Pareja	8	8	2	10	Q	
3422	Pareja	8	8	2	10	K	
3423	Pareja	8	8	2	J	Q	
3424	Pareja	8	8	2	J	K	
3425	Pareja	8	8	2	Q	K	
3426	Pareja	8	8	3	4	5	
3427	Pareja	8	8	3	4	6	
3428	Pareja	8	8	3	4	7	
3429	Pareja	8	8	3	4	9	
3430	Pareja	8	8	3	4	10	
3431	Pareja	8	8	3	4	J	
3432	Pareja	8	8	3	4	Q	
3433	Pareja	8	8	3	4	K	
3434	Pareja	8	8	3	5	6	
3435	Pareja	8	8	3	5	7	
3436	Pareja	8	8	3	5	9	
3437	Pareja	8	8	3	5	10	
3438	Pareja	8	8	3	5	J	
3439	Pareja	8	8	3	5	Q	
3440	Pareja	8	8	3	5	K	
3441	Pareja	8	8	3	6	7	
3442	Pareja	8	8	3	6	9	
3443	Pareja	8	8	3	6	10	
3444	Pareja	8	8	3	6	J	
3445	Pareja	8	8	3	6	Q	
3446	Pareja	8	8	3	6	K	
3447	Pareja	8	8	3	7	9	
3448	Pareja	8	8	3	7	10	
3449	Pareja	8	8	3	7	J	
3450	Pareja	8	8	3	7	Q	
3451	Pareja	8	8	3	7	K	
3452	Pareja	8	8	3	9	10	
3453	Pareja	8	8	3	9	J	
3454	Pareja	8	8	3	9	Q	
3455	Pareja	8	8	3	9	K	
3456	Pareja	8	8	3	10	J	
3457	Pareja	8	8	3	10	Q	
3458	Pareja	8	8	3	10	K	
3459	Pareja	8	8	3	J	Q	
3460	Pareja	8	8	3	J	K	
3461	Pareja	8	8	3	Q	K	
3462	Pareja	8	8	4	5	6	
3463	Pareja	8	8	4	5	7	
3464	Pareja	8	8	4	5	9	
3465	Pareja	8	8	4	5	10	
3466	Pareja	8	8	4	5	J	
3467	Pareja	8	8	4	5	Q	
3468	Pareja	8	8	4	5	K	
3469	Pareja	8	8	4	6	7	
3470	Pareja	8	8	4	6	9	
3471	Pareja	8	8	4	6	10	
3472	Pareja	8	8	4	6	J	
3473	Pareja	8	8	4	6	Q	
3474	Pareja	8	8	4	6	K	
3475	Pareja	8	8	4	7	9	
3476	Pareja	8	8	4	7	10	
3477	Pareja	8	8	4	7	J	
3478	Pareja	8	8	4	7	Q	
3479	Pareja	8	8	4	7	K	
3480	Pareja	8	8	4	9	10	
3481	Pareja	8	8	4	9	J	
3482	Pareja	8	8	4	9	Q	
3483	Pareja	8	8	4	9	K	
3484	Pareja	8	8	4	10	J	
3485	Pareja	8	8	4	10	Q	
3486	Pareja	8	8	4	10	K	
3487	Pareja	8	8	4	J	Q	
3488	Pareja	8	8	4	J	K	
3489	Pareja	8	8	4	Q	K	
3490	Pareja	8	8	5	6	7	
3491	Pareja	8	8	5	6	9	
3492	Pareja	8	8	5	6	10	
3493	Pareja	8	8	5	6	J	
3494	Pareja	8	8	5	6	Q	
3495	Pareja	8	8	5	6	K	
3496	Pareja	8	8	5	7	9	
3497	Pareja	8	8	5	7	10	
3498	Pareja	8	8	5	7	J	
3499	Pareja	8	8	5	7	Q	
3500	Pareja	8	8	5	7	K	
3501	Pareja	8	8	5	9	10	
3502	Pareja	8	8	5	9	J	
3503	Pareja	8	8	5	9	Q	
3504	Pareja	8	8	5	9	K	
3505	Pareja	8	8	5	10	J	
3506	Pareja	8	8	5	10	Q	
3507	Pareja	8	8	5	10	K	
3508	Pareja	8	8	5	J	Q	
3509	Pareja	8	8	5	J	K	
3510	Pareja	8	8	5	Q	K	
3511	Pareja	8	8	6	7	9	
3512	Pareja	8	8	6	7	10	
3513	Pareja	8	8	6	7	J	
3514	Pareja	8	8	6	7	Q	
3515	Pareja	8	8	6	7	K	
3516	Pareja	8	8	6	9	10	
3517	Pareja	8	8	6	9	J	
3518	Pareja	8	8	6	9	Q	
3519	Pareja	8	8	6	9	K	
3520	Pareja	8	8	6	10	J	
3521	Pareja	8	8	6	10	Q	
3522	Pareja	8	8	6	10	K	
3523	Pareja	8	8	6	J	Q	
3524	Pareja	8	8	6	J	K	
3525	Pareja	8	8	6	Q	K	
3526	Pareja	8	8	7	9	10	
3527	Pareja	8	8	7	9	J	
3528	Pareja	8	8	7	9	Q	
3529	Pareja	8	8	7	9	K	
3530	Pareja	8	8	7	10	J	
3531	Pareja	8	8	7	10	Q	
3532	Pareja	8	8	7	10	K	
3533	Pareja	8	8	7	J	Q	
3534	Pareja	8	8	7	J	K	
3535	Pareja	8	8	7	Q	K	
3536	Pareja	8	8	9	10	J	
3537	Pareja	8	8	9	10	Q	
3538	Pareja	8	8	9	10	K	
3539	Pareja	8	8	9	J	Q	
3540	Pareja	8	8	9	J	K	
3541	Pareja	8	8	9	Q	K	
3542	Pareja	8	8	10	J	Q	
3543	Pareja	8	8	10	J	K	
3544	Pareja	8	8	10	Q	K	
3545	Pareja	8	8	J	Q	K	
3546	Pareja	7	7	2	3	4	
3547	Pareja	7	7	2	3	5	
3548	Pareja	7	7	2	3	6	
3549	Pareja	7	7	2	3	8	
3550	Pareja	7	7	2	3	9	
3551	Pareja	7	7	2	3	10	
3552	Pareja	7	7	2	3	J	
3553	Pareja	7	7	2	3	Q	
3554	Pareja	7	7	2	3	K	
3555	Pareja	7	7	2	4	5	
3556	Pareja	7	7	2	4	6	
3557	Pareja	7	7	2	4	8	
3558	Pareja	7	7	2	4	9	
3559	Pareja	7	7	2	4	10	
3560	Pareja	7	7	2	4	J	
3561	Pareja	7	7	2	4	Q	
3562	Pareja	7	7	2	4	K	
3563	Pareja	7	7	2	5	6	
3564	Pareja	7	7	2	5	8	
3565	Pareja	7	7	2	5	9	
3566	Pareja	7	7	2	5	10	
3567	Pareja	7	7	2	5	J	
3568	Pareja	7	7	2	5	Q	
3569	Pareja	7	7	2	5	K	
3570	Pareja	7	7	2	6	8	
3571	Pareja	7	7	2	6	9	
3572	Pareja	7	7	2	6	10	
3573	Pareja	7	7	2	6	J	
3574	Pareja	7	7	2	6	Q	
3575	Pareja	7	7	2	6	K	
3576	Pareja	7	7	2	8	9	
3577	Pareja	7	7	2	8	10	
3578	Pareja	7	7	2	8	J	
3579	Pareja	7	7	2	8	Q	
3580	Pareja	7	7	2	8	K	
3581	Pareja	7	7	2	9	10	
3582	Pareja	7	7	2	9	J	
3583	Pareja	7	7	2	9	Q	
3584	Pareja	7	7	2	9	K	
3585	Pareja	7	7	2	10	J	
3586	Pareja	7	7	2	10	Q	
3587	Pareja	7	7	2	10	K	
3588	Pareja	7	7	2	J	Q	
3589	Pareja	7	7	2	J	K	
3590	Pareja	7	7	2	Q	K	
3591	Pareja	7	7	3	4	5	
3592	Pareja	7	7	3	4	6	
3593	Pareja	7	7	3	4	8	
3594	Pareja	7	7	3	4	9	
3595	Pareja	7	7	3	4	10	
3596	Pareja	7	7	3	4	J	
3597	Pareja	7	7	3	4	Q	
3598	Pareja	7	7	3	4	K	
3599	Pareja	7	7	3	5	6	
3600	Pareja	7	7	3	5	8	
3601	Pareja	7	7	3	5	9	
3602	Pareja	7	7	3	5	10	
3603	Pareja	7	7	3	5	J	
3604	Pareja	7	7	3	5	Q	
3605	Pareja	7	7	3	5	K	
3606	Pareja	7	7	3	6	8	
3607	Pareja	7	7	3	6	9	
3608	Pareja	7	7	3	6	10	
3609	Pareja	7	7	3	6	J	
3610	Pareja	7	7	3	6	Q	
3611	Pareja	7	7	3	6	K	
3612	Pareja	7	7	3	8	9	
3613	Pareja	7	7	3	8	10	
3614	Pareja	7	7	3	8	J	
3615	Pareja	7	7	3	8	Q	
3616	Pareja	7	7	3	8	K	
3617	Pareja	7	7	3	9	10	
3618	Pareja	7	7	3	9	J	
3619	Pareja	7	7	3	9	Q	
3620	Pareja	7	7	3	9	K	
3621	Pareja	7	7	3	10	J	
3622	Pareja	7	7	3	10	Q	
3623	Pareja	7	7	3	10	K	
3624	Pareja	7	7	3	J	Q	
3625	Pareja	7	7	3	J	K	
3626	Pareja	7	7	3	Q	K	
3627	Pareja	7	7	4	5	6	
3628	Pareja	7	7	4	5	8	
3629	Pareja	7	7	4	5	9	
3630	Pareja	7	7	4	5	10	
3631	Pareja	7	7	4	5	J	
3632	Pareja	7	7	4	5	Q	
3633	Pareja	7	7	4	5	K	
3634	Pareja	7	7	4	6	8	
3635	Pareja	7	7	4	6	9	
3636	Pareja	7	7	4	6	10	
3637	Pareja	7	7	4	6	J	
3638	Pareja	7	7	4	6	Q	
3639	Pareja	7	7	4	6	K	
3640	Pareja	7	7	4	8	9	
3641	Pareja	7	7	4	8	10	
3642	Pareja	7	7	4	8	J	
3643	Pareja	7	7	4	8	Q	
3644	Pareja	7	7	4	8	K	
3645	Pareja	7	7	4	9	10	
3646	Pareja	7	7	4	9	J	
3647	Pareja	7	7	4	9	Q	
3648	Pareja	7	7	4	9	K	
3649	Pareja	7	7	4	10	J	
3650	Pareja	7	7	4	10	Q	
3651	Pareja	7	7	4	10	K	
3652	Pareja	7	7	4	J	Q	
3653	Pareja	7	7	4	J	K	
3654	Pareja	7	7	4	Q	K	
3655	Pareja	7	7	5	6	8	
3656	Pareja	7	7	5	6	9	
3657	Pareja	7	7	5	6	10	
3658	Pareja	7	7	5	6	J	
3659	Pareja	7	7	5	6	Q	
3660	Pareja	7	7	5	6	K	
3661	Pareja	7	7	5	8	9	
3662	Pareja	7	7	5	8	10	
3663	Pareja	7	7	5	8	J	
3664	Pareja	7	7	5	8	Q	
3665	Pareja	7	7	5	8	K	
3666	Pareja	7	7	5	9	10	
3667	Pareja	7	7	5	9	J	
3668	Pareja	7	7	5	9	Q	
3669	Pareja	7	7	5	9	K	
3670	Pareja	7	7	5	10	J	
3671	Pareja	7	7	5	10	Q	
3672	Pareja	7	7	5	10	K	
3673	Pareja	7	7	5	J	Q	
3674	Pareja	7	7	5	J	K	
3675	Pareja	7	7	5	Q	K	
3676	Pareja	7	7	6	8	9	
3677	Pareja	7	7	6	8	10	
3678	Pareja	7	7	6	8	J	
3679	Pareja	7	7	6	8	Q	
3680	Pareja	7	7	6	8	K	
3681	Pareja	7	7	6	9	10	
3682	Pareja	7	7	6	9	J	
3683	Pareja	7	7	6	9	Q	
3684	Pareja	7	7	6	9	K	
3685	Pareja	7	7	6	10	J	
3686	Pareja	7	7	6	10	Q	
3687	Pareja	7	7	6	10	K	
3688	Pareja	7	7	6	J	Q	
3689	Pareja	7	7	6	J	K	
3690	Pareja	7	7	6	Q	K	
3691	Pareja	7	7	8	9	10	
3692	Pareja	7	7	8	9	J	
3693	Pareja	7	7	8	9	Q	
3694	Pareja	7	7	8	9	K	
3695	Pareja	7	7	8	10	J	
3696	Pareja	7	7	8	10	Q	
3697	Pareja	7	7	8	10	K	
3698	Pareja	7	7	8	J	Q	
3699	Pareja	7	7	8	J	K	
3700	Pareja	7	7	8	Q	K	
3701	Pareja	7	7	9	10	J	
3702	Pareja	7	7	9	10	Q	
3703	Pareja	7	7	9	10	K	
3704	Pareja	7	7	9	J	Q	
3705	Pareja	7	7	9	J	K	
3706	Pareja	7	7	9	Q	K	
3707	Pareja	7	7	10	J	Q	
3708	Pareja	7	7	10	J	K	
3709	Pareja	7	7	10	Q	K	
3710	Pareja	7	7	J	Q	K	
3711	Pareja	6	6	2	3	4	
3712	Pareja	6	6	2	3	5	
3713	Pareja	6	6	2	3	7	
3714	Pareja	6	6	2	3	8	
3715	Pareja	6	6	2	3	9	
3716	Pareja	6	6	2	3	10	
3717	Pareja	6	6	2	3	J	
3718	Pareja	6	6	2	3	Q	
3719	Pareja	6	6	2	3	K	
3720	Pareja	6	6	2	4	5	
3721	Pareja	6	6	2	4	7	
3722	Pareja	6	6	2	4	8	
3723	Pareja	6	6	2	4	9	
3724	Pareja	6	6	2	4	10	
3725	Pareja	6	6	2	4	J	
3726	Pareja	6	6	2	4	Q	
3727	Pareja	6	6	2	4	K	
3728	Pareja	6	6	2	5	7	
3729	Pareja	6	6	2	5	8	
3730	Pareja	6	6	2	5	9	
3731	Pareja	6	6	2	5	10	
3732	Pareja	6	6	2	5	J	
3733	Pareja	6	6	2	5	Q	
3734	Pareja	6	6	2	5	K	
3735	Pareja	6	6	2	7	8	
3736	Pareja	6	6	2	7	9	
3737	Pareja	6	6	2	7	10	
3738	Pareja	6	6	2	7	J	
3739	Pareja	6	6	2	7	Q	
3740	Pareja	6	6	2	7	K	
3741	Pareja	6	6	2	8	9	
3742	Pareja	6	6	2	8	10	
3743	Pareja	6	6	2	8	J	
3744	Pareja	6	6	2	8	Q	
3745	Pareja	6	6	2	8	K	
3746	Pareja	6	6	2	9	10	
3747	Pareja	6	6	2	9	J	
3748	Pareja	6	6	2	9	Q	
3749	Pareja	6	6	2	9	K	
3750	Pareja	6	6	2	10	J	
3751	Pareja	6	6	2	10	Q	
3752	Pareja	6	6	2	10	K	
3753	Pareja	6	6	2	J	Q	
3754	Pareja	6	6	2	J	K	
3755	Pareja	6	6	2	Q	K	
3756	Pareja	6	6	3	4	5	
3757	Pareja	6	6	3	4	7	
3758	Pareja	6	6	3	4	8	
3759	Pareja	6	6	3	4	9	
3760	Pareja	6	6	3	4	10	
3761	Pareja	6	6	3	4	J	
3762	Pareja	6	6	3	4	Q	
3763	Pareja	6	6	3	4	K	
3764	Pareja	6	6	3	5	7	
3765	Pareja	6	6	3	5	8	
3766	Pareja	6	6	3	5	9	
3767	Pareja	6	6	3	5	10	
3768	Pareja	6	6	3	5	J	
3769	Pareja	6	6	3	5	Q	
3770	Pareja	6	6	3	5	K	
3771	Pareja	6	6	3	7	8	
3772	Pareja	6	6	3	7	9	
3773	Pareja	6	6	3	7	10	
3774	Pareja	6	6	3	7	J	
3775	Pareja	6	6	3	7	Q	
3776	Pareja	6	6	3	7	K	
3777	Pareja	6	6	3	8	9	
3778	Pareja	6	6	3	8	10	
3779	Pareja	6	6	3	8	J	
3780	Pareja	6	6	3	8	Q	
3781	Pareja	6	6	3	8	K	
3782	Pareja	6	6	3	9	10	
3783	Pareja	6	6	3	9	J	
3784	Pareja	6	6	3	9	Q	
3785	Pareja	6	6	3	9	K	
3786	Pareja	6	6	3	10	J	
3787	Pareja	6	6	3	10	Q	
3788	Pareja	6	6	3	10	K	
3789	Pareja	6	6	3	J	Q	
3790	Pareja	6	6	3	J	K	
3791	Pareja	6	6	3	Q	K	
3792	Pareja	6	6	4	5	7	
3793	Pareja	6	6	4	5	8	
3794	Pareja	6	6	4	5	9	
3795	Pareja	6	6	4	5	10	
3796	Pareja	6	6	4	5	J	
3797	Pareja	6	6	4	5	Q	
3798	Pareja	6	6	4	5	K	
3799	Pareja	6	6	4	7	8	
3800	Pareja	6	6	4	7	9	
3801	Pareja	6	6	4	7	10	
3802	Pareja	6	6	4	7	J	
3803	Pareja	6	6	4	7	Q	
3804	Pareja	6	6	4	7	K	
3805	Pareja	6	6	4	8	9	
3806	Pareja	6	6	4	8	10	
3807	Pareja	6	6	4	8	J	
3808	Pareja	6	6	4	8	Q	
3809	Pareja	6	6	4	8	K	
3810	Pareja	6	6	4	9	10	
3811	Pareja	6	6	4	9	J	
3812	Pareja	6	6	4	9	Q	
3813	Pareja	6	6	4	9	K	
3814	Pareja	6	6	4	10	J	
3815	Pareja	6	6	4	10	Q	
3816	Pareja	6	6	4	10	K	
3817	Pareja	6	6	4	J	Q	
3818	Pareja	6	6	4	J	K	
3819	Pareja	6	6	4	Q	K	
3820	Pareja	6	6	5	7	8	
3821	Pareja	6	6	5	7	9	
3822	Pareja	6	6	5	7	10	
3823	Pareja	6	6	5	7	J	
3824	Pareja	6	6	5	7	Q	
3825	Pareja	6	6	5	7	K	
3826	Pareja	6	6	5	8	9	
3827	Pareja	6	6	5	8	10	
3828	Pareja	6	6	5	8	J	
3829	Pareja	6	6	5	8	Q	
3830	Pareja	6	6	5	8	K	
3831	Pareja	6	6	5	9	10	
3832	Pareja	6	6	5	9	J	
3833	Pareja	6	6	5	9	Q	
3834	Pareja	6	6	5	9	K	
3835	Pareja	6	6	5	10	J	
3836	Pareja	6	6	5	10	Q	
3837	Pareja	6	6	5	10	K	
3838	Pareja	6	6	5	J	Q	
3839	Pareja	6	6	5	J	K	
3840	Pareja	6	6	5	Q	K	
3841	Pareja	6	6	7	8	9	
3842	Pareja	6	6	7	8	10	
3843	Pareja	6	6	7	8	J	
3844	Pareja	6	6	7	8	Q	
3845	Pareja	6	6	7	8	K	
3846	Pareja	6	6	7	9	10	
3847	Pareja	6	6	7	9	J	
3848	Pareja	6	6	7	9	Q	
3849	Pareja	6	6	7	9	K	
3850	Pareja	6	6	7	10	J	
3851	Pareja	6	6	7	10	Q	
3852	Pareja	6	6	7	10	K	
3853	Pareja	6	6	7	J	Q	
3854	Pareja	6	6	7	J	K	
3855	Pareja	6	6	7	Q	K	
3856	Pareja	6	6	8	9	10	
3857	Pareja	6	6	8	9	J	
3858	Pareja	6	6	8	9	Q	
3859	Pareja	6	6	8	9	K	
3860	Pareja	6	6	8	10	J	
3861	Pareja	6	6	8	10	Q	
3862	Pareja	6	6	8	10	K	
3863	Pareja	6	6	8	J	Q	
3864	Pareja	6	6	8	J	K	
3865	Pareja	6	6	8	Q	K	
3866	Pareja	6	6	9	10	J	
3867	Pareja	6	6	9	10	Q	
3868	Pareja	6	6	9	10	K	
3869	Pareja	6	6	9	J	Q	
3870	Pareja	6	6	9	J	K	
3871	Pareja	6	6	9	Q	K	
3872	Pareja	6	6	10	J	Q	
3873	Pareja	6	6	10	J	K	
3874	Pareja	6	6	10	Q	K	
3875	Pareja	6	6	J	Q	K	
3876	Pareja	5	5	A	2	3	
3877	Pareja	5	5	A	2	4	
3878	Pareja	5	5	A	2	6	
3879	Pareja	5	5	A	2	7	
3880	Pareja	5	5	A	2	8	
3881	Pareja	5	5	A	2	9	
3882	Pareja	5	5	A	2	10	
3883	Pareja	5	5	A	2	J	
3884	Pareja	5	5	A	2	Q	
3885	Pareja	5	5	A	2	K	
3886	Pareja	5	5	A	3	4	
3887	Pareja	5	5	A	3	6	
3888	Pareja	5	5	A	3	7	
3889	Pareja	5	5	A	3	8	
3890	Pareja	5	5	A	3	9	
3891	Pareja	5	5	A	3	10	
3892	Pareja	5	5	A	3	J	
3893	Pareja	5	5	A	3	Q	
3894	Pareja	5	5	A	3	K	
3895	Pareja	5	5	A	4	6	
3896	Pareja	5	5	A	4	7	
3897	Pareja	5	5	A	4	8	
3898	Pareja	5	5	A	4	9	
3899	Pareja	5	5	A	4	10	
3900	Pareja	5	5	A	4	J	
3901	Pareja	5	5	A	4	Q	
3902	Pareja	5	5	A	4	K	
3903	Pareja	5	5	A	6	7	
3904	Pareja	5	5	A	6	8	
3905	Pareja	5	5	A	6	9	
3906	Pareja	5	5	A	6	10	
3907	Pareja	5	5	A	6	J	
3908	Pareja	5	5	A	6	Q	
3909	Pareja	5	5	A	6	K	
3910	Pareja	5	5	A	7	8	
3911	Pareja	5	5	A	7	9	
3912	Pareja	5	5	A	7	10	
3913	Pareja	5	5	A	7	J	
3914	Pareja	5	5	A	7	Q	
3915	Pareja	5	5	A	7	K	
3916	Pareja	5	5	A	8	9	
3917	Pareja	5	5	A	8	10	
3918	Pareja	5	5	A	8	J	
3919	Pareja	5	5	A	8	Q	
3920	Pareja	5	5	A	8	K	
3921	Pareja	5	5	A	9	10	
3922	Pareja	5	5	A	9	J	
3923	Pareja	5	5	A	9	Q	
3924	Pareja	5	5	A	9	K	
3925	Pareja	5	5	A	10	J	
3926	Pareja	5	5	A	10	Q	
3927	Pareja	5	5	A	10	K	
3928	Pareja	5	5	A	J	Q	
3929	Pareja	5	5	A	J	K	
3930	Pareja	5	5	A	Q	K	
3931	Pareja	5	5	2	3	4	
3932	Pareja	5	5	2	3	6	
3933	Pareja	5	5	2	3	7	
3934	Pareja	5	5	2	3	8	
3935	Pareja	5	5	2	3	9	
3936	Pareja	5	5	2	3	10	
3937	Pareja	5	5	2	3	J	
3938	Pareja	5	5	2	3	Q	
3939	Pareja	5	5	2	3	K	
3940	Pareja	5	5	2	4	6	
3941	Pareja	5	5	2	4	7	
3942	Pareja	5	5	2	4	8	
3943	Pareja	5	5	2	4	9	
3944	Pareja	5	5	2	4	10	
3945	Pareja	5	5	2	4	J	
3946	Pareja	5	5	2	4	Q	
3947	Pareja	5	5	2	4	K	
3948	Pareja	5	5	2	6	7	
3949	Pareja	5	5	2	6	8	
3950	Pareja	5	5	2	6	9	
3951	Pareja	5	5	2	6	10	
3952	Pareja	5	5	2	6	J	
3953	Pareja	5	5	2	6	Q	
3954	Pareja	5	5	2	6	K	
3955	Pareja	5	5	2	7	8	
3956	Pareja	5	5	2	7	9	
3957	Pareja	5	5	2	7	10	
3958	Pareja	5	5	2	7	J	
3959	Pareja	5	5	2	7	Q	
3960	Pareja	5	5	2	7	K	
3961	Pareja	5	5	2	8	9	
3962	Pareja	5	5	2	8	10	
3963	Pareja	5	5	2	8	J	
3964	Pareja	5	5	2	8	Q	
3965	Pareja	5	5	2	8	K	
3966	Pareja	5	5	2	9	10	
3967	Pareja	5	5	2	9	J	
3968	Pareja	5	5	2	9	Q	
3969	Pareja	5	5	2	9	K	
3970	Pareja	5	5	2	10	J	
3971	Pareja	5	5	2	10	Q	
3972	Pareja	5	5	2	10	K	
3973	Pareja	5	5	2	J	Q	
3974	Pareja	5	5	2	J	K	
3975	Pareja	5	5	2	Q	K	
3976	Pareja	5	5	3	4	6	
3977	Pareja	5	5	3	4	7	
3978	Pareja	5	5	3	4	8	
3979	Pareja	5	5	3	4	9	
3980	Pareja	5	5	3	4	10	
3981	Pareja	5	5	3	4	J	
3982	Pareja	5	5	3	4	Q	
3983	Pareja	5	5	3	4	K	
3984	Pareja	5	5	3	6	7	
3985	Pareja	5	5	3	6	8	
3986	Pareja	5	5	3	6	9	
3987	Pareja	5	5	3	6	10	
3988	Pareja	5	5	3	6	J	
3989	Pareja	5	5	3	6	Q	
3990	Pareja	5	5	3	6	K	
3991	Pareja	5	5	3	7	8	
3992	Pareja	5	5	3	7	9	
3993	Pareja	5	5	3	7	10	
3994	Pareja	5	5	3	7	J	
3995	Pareja	5	5	3	7	Q	
3996	Pareja	5	5	3	7	K	
3997	Pareja	5	5	3	8	9	
3998	Pareja	5	5	3	8	10	
3999	Pareja	5	5	3	8	J	
4000	Pareja	5	5	3	8	Q	
4001	Pareja	5	5	3	8	K	
4002	Pareja	5	5	3	9	10	
4003	Pareja	5	5	3	9	J	
4004	Pareja	5	5	3	9	Q	
4005	Pareja	5	5	3	9	K	
4006	Pareja	5	5	3	10	J	
4007	Pareja	5	5	3	10	Q	
4008	Pareja	5	5	3	10	K	
4009	Pareja	5	5	3	J	Q	
4010	Pareja	5	5	3	J	K	
4011	Pareja	5	5	3	Q	K	
4012	Pareja	5	5	4	6	7	
4013	Pareja	5	5	4	6	8	
4014	Pareja	5	5	4	6	9	
4015	Pareja	5	5	4	6	10	
4016	Pareja	5	5	4	6	J	
4017	Pareja	5	5	4	6	Q	
4018	Pareja	5	5	4	6	K	
4019	Pareja	5	5	4	7	8	
4020	Pareja	5	5	4	7	9	
4021	Pareja	5	5	4	7	10	
4022	Pareja	5	5	4	7	J	
4023	Pareja	5	5	4	7	Q	
4024	Pareja	5	5	4	7	K	
4025	Pareja	5	5	4	8	9	
4026	Pareja	5	5	4	8	10	
4027	Pareja	5	5	4	8	J	
4028	Pareja	5	5	4	8	Q	
4029	Pareja	5	5	4	8	K	
4030	Pareja	5	5	4	9	10	
4031	Pareja	5	5	4	9	J	
4032	Pareja	5	5	4	9	Q	
4033	Pareja	5	5	4	9	K	
4034	Pareja	5	5	4	10	J	
4035	Pareja	5	5	4	10	Q	
4036	Pareja	5	5	4	10	K	
4037	Pareja	5	5	4	J	Q	
4038	Pareja	5	5	4	J	K	
4039	Pareja	5	5	4	Q	K	
4040	Pareja	5	5	6	7	8	
4041	Pareja	5	5	6	7	9	
4042	Pareja	5	5	6	7	10	
4043	Pareja	5	5	6	7	J	
4044	Pareja	5	5	6	7	Q	
4045	Pareja	5	5	6	7	K	
4046	Pareja	5	5	6	8	9	
4047	Pareja	5	5	6	8	10	
4048	Pareja	5	5	6	8	J	
4049	Pareja	5	5	6	8	Q	
4050	Pareja	5	5	6	8	K	
4051	Pareja	5	5	6	9	10	
4052	Pareja	5	5	6	9	J	
4053	Pareja	5	5	6	9	Q	
4054	Pareja	5	5	6	9	K	
4055	Pareja	5	5	6	10	J	
4056	Pareja	5	5	6	10	Q	
4057	Pareja	5	5	6	10	K	
4058	Pareja	5	5	6	J	Q	
4059	Pareja	5	5	6	J	K	
4060	Pareja	5	5	6	Q	K	
4061	Pareja	5	5	7	8	9	
4062	Pareja	5	5	7	8	10	
4063	Pareja	5	5	7	8	J	
4064	Pareja	5	5	7	8	Q	
4065	Pareja	5	5	7	8	K	
4066	Pareja	5	5	7	9	10	
4067	Pareja	5	5	7	9	J	
4068	Pareja	5	5	7	9	Q	
4069	Pareja	5	5	7	9	K	
4070	Pareja	5	5	7	10	J	
4071	Pareja	5	5	7	10	Q	
4072	Pareja	5	5	7	10	K	
4073	Pareja	5	5	7	J	Q	
4074	Pareja	5	5	7	J	K	
4075	Pareja	5	5	7	Q	K	
4076	Pareja	5	5	8	9	10	
4077	Pareja	5	5	8	9	J	
4078	Pareja	5	5	8	9	Q	
4079	Pareja	5	5	8	9	K	
4080	Pareja	5	5	8	10	J	
4081	Pareja	5	5	8	10	Q	
4082	Pareja	5	5	8	10	K	
4083	Pareja	5	5	8	J	Q	
4084	Pareja	5	5	8	J	K	
4085	Pareja	5	5	8	Q	K	
4086	Pareja	5	5	9	10	J	
4087	Pareja	5	5	9	10	Q	
4088	Pareja	5	5	9	10	K	
4089	Pareja	5	5	9	J	Q	
4090	Pareja	5	5	9	J	K	
4091	Pareja	5	5	9	Q	K	
4092	Pareja	5	5	10	J	Q	
4093	Pareja	5	5	10	J	K	
4094	Pareja	5	5	10	Q	K	
4095	Pareja	5	5	J	Q	K	
4096	Pareja	4	4	A	2	3	
4097	Pareja	4	4	A	2	5	
4098	Pareja	4	4	A	2	6	
4099	Pareja	4	4	A	2	7	
4100	Pareja	4	4	A	2	8	
4101	Pareja	4	4	A	2	9	
4102	Pareja	4	4	A	2	10	
4103	Pareja	4	4	A	2	J	
4104	Pareja	4	4	A	2	Q	
4105	Pareja	4	4	A	2	K	
4106	Pareja	4	4	A	3	5	
4107	Pareja	4	4	A	3	6	
4108	Pareja	4	4	A	3	7	
4109	Pareja	4	4	A	3	8	
4110	Pareja	4	4	A	3	9	
4111	Pareja	4	4	A	3	10	
4112	Pareja	4	4	A	3	J	
